created,id,text,screenName,retweetCount
2017-05-22T04:05:43Z,866505325641420801,@Galactic_Storm I have to study for my finals this entire week until Friday :(,CrystalKatt54,0
2017-05-22T03:52:08Z,866501906964692992,anyone want to buy Naruto Ultimate Ninja Storm 4 for me??? :(((,ryancyrano,0
2017-05-22T03:17:04Z,866493085403959296,"M.A.P6 - ""STORM"" Dance Practice 
Official link : ( https://t.co/cWsTmvQFXe ) 
Mirror dance link : (â€¦ https://t.co/B8LEmLlpcH",Kiho94_,0
2017-05-22T02:25:25Z,866480087268569088,Jerry left right in the middle of the storm :(,odalysmaite_,0
2017-05-22T02:14:21Z,866477300837044224,"im so sad, there's gonna be a hail storm and my lil baby is home all alone she's gonna be so scared :((((",raquelcueva15,0
2017-05-22T01:10:46Z,866461300603445249,Not looking forward to losing power bc of this storm :(,Ajm1114,0
2017-05-22T00:29:12Z,866450839518543872,Theres a storm &amp; my power keeps going out cant watch the BBMAs :((,spicygnomes,0
2017-05-22T00:19:31Z,866448399863820288,wish this storm could wash away my sadness :(,Julian_Leighh5,3
2017-05-22T00:15:51Z,866447479759409152,"So a hail storm started and the mic picks it up and it's really loud, so if it doesn't stop in an hour no stream tonight :(",SparkDOOD,0
2017-05-21T23:50:35Z,866441118883475462,I saved my parrot from the hail storm...she better respeck me from now on &gt;:(,UmmKenyaNot,1
2017-05-21T23:45:45Z,866439904536002561,@Aroze_Storm @MythFlowers @FaZeMito I wish that was me :(,MEADEYPLAYS,0
2017-05-21T23:37:33Z,866437839411703811,it's supposed to storm sunday :(,alexacipolla,0
2017-05-21T23:31:26Z,866436299313598465,@StorM_Blitzz Dont know how to tell you or show you :( sorry or i would,killagall9,0
2017-05-21T22:31:26Z,866421202050584576,Storm flickered my power. If it happens again I'm done for the day. :(,VikingVod,0
2017-05-21T20:50:02Z,866395682009079808,I don't like how they gave Jackson storm a bitch voice :( fuck it this movie still finna be fire,Theboyjvk,0
2017-05-21T20:03:37Z,866384003103850498,"Gotta love Heroes of the Storm Matchmaking, not a single game where the average level of the other group is 200 levels above :(",draskalder,0
2017-05-21T19:33:06Z,866376324302213122,Our Exhibition Tents were destroyed in wind storm Sunday early AM. :(,BCHSpets,0
2017-05-21T19:08:34Z,866370148101500929,I just want it to thunder storm :(,lolashleigh,0
2017-05-21T18:02:58Z,866353642055450624,@RdotSpoon I'm so sorry that Shit Storm is triggering it for you again. Totally understand why though. :(,The_Book_Queen,0
2017-05-21T17:57:23Z,866352234510077955,@LaraWVO I have a prescription for her anxiety but because I didn't know the storm was coming (or how long) I didn't give it to her :(,BrittanyLaudaVO,0
2017-05-21T17:56:05Z,866351908901969922,I think I gotta skip stream today guys. :( My voice was rough yesterday and today I'm coughing up a storm. Thisâ€¦ https://t.co/PGgWZyqjY4,FibroMancer,0
2017-05-21T17:54:31Z,866351511835693061,the storm is almost here :(,idkbenfeldman,0
2017-05-21T17:28:30Z,866344964594302977,i wish audio multi localization was a thing in heroes of the storm :(,Levicopter,0
2017-05-21T16:26:35Z,866329383694237697,i think there might be a storm here tonight :(((,Zoefanleaf,0
2017-05-21T14:23:30Z,866298409296121856,@storm in all the excitement in Perth today I lost my 2015 badge :( worth it to see a win in #Perth #purplepride https://t.co/axo9Xsw7zH,alana_herbs,0
2017-05-21T13:54:20Z,866291068886687744,@isailxmna Sadly no :( storm troopers ate :(,karengrospe_,0
2017-05-21T12:13:01Z,866265572706844672,This storm and these cramps woke me up :-(,GwowItsHelen,0
2017-05-21T06:36:13Z,866180814874259456,And the good stuff comes in today! Smh could of used it yesterday but then again storm damage.. :(,paparazziJanet,0
